14963
a	a.一,一个,一只,一件.
squeeze	n.压榨,挤v.紧握,挤
squelch	vi.压扁(发出格喳格喳声)n.格喳格喳声(静噪电路)
squid	n.鱿鱼
squilla	虾蛄
squint	n.斜视眼,斜著a.斜视的v.使变斜视眼,斜视
squire	n.护卫,侍从,乡绅
squirm	vi.(因不舒适、羞愧或紧张而)蠕动
squirrel	n.松鼠
squirt	v.喷出,溅迸,注射n.水枪,注射器,喷出
stab	v.&n.刺,戳vt.刺(伤)
stabbing	v.刺伤(企图,把墙凿粗糙)
stability	n.稳定性
stabilization	稳定化
stabilize	v.使安定,使坚固
stabilizer	稳定剂,稳定器
stable	a.稳定的,安定的n.马厩,马棚
staccato	a.断续的ad.不连贯地
stack	n.堆叠,堆v.堆积,做牌,选派
stadium	n.体育场
staff	n.全体人员,同事n.杆,棒vt.配备员工
stag	a.只准男子参加的n.牡鹿
stage	n.阶段,舞台,驿站v.上演,表演,乘驿车旅行
stagecoach	n.驿马车,公共马车
stagflation	滞胀
stagger	n.蹒跚,踌躇v.蹒跚,使...摇摆,踌躇
staggering	a.摇晃欲倒的,犹豫的,惊人的
staging	分段运输
stagnant	a.不流动的,不景气的
stagnate	v.停止
stagnation	n.停滞
stagy	a.不自然的,演戏一般的
staid	a.固定的(沉着的)
stain	n.污染,污点,著色v.沾染,染污,著色
stainless	a.无瑕疵的,不锈的
stair	n.楼梯
staircase	n.楼梯
stairs	n.楼梯
stairway	n.楼梯
stake	n.木柱,赌注,奖金v.打赌,下赌注
stalactite	n.钟乳石
stalagmite	n.石笋
stale	a.不新鲜的,陈腐的
stalemate	n.僵持状态,陷于困境,胶著状况v.使无法动棋子,使停顿,使陷入困境
stalk	n.茎,追踪,高视阔步v.悄悄靠近,蔓延,高视阔步
stall	n.货摊,托辞v.停顿,推托,使...陷于泥中
stallion	n.种马
stalls	n.pl.(剧场的)正厅前排座位,正厅前座区
stalwart	n.顽强的人a.高大结实的,顽强的
stamen	n.[植]雄蕊
stamina	n.精力,活力
stammer	n.结巴,口吃v.口吃,结巴vi.结结巴巴地说话,口吃vt.结结巴巴地说
stamp	n.印,邮票,打印器v.捺印,顿足,贴上邮票
stampede	n.(人群的)蜂拥
stance	n.准备击球姿势,踏脚处,位置
stanch	v.止住,止血a.坚固的,坚强的,忠实的
stand	n.站立,停顿,楼台,货摊v.站立,忍受,位于,坐落
stand-alone	独立
standard	a.标准的n.标准
standard-bearer	n.领导人(尤指政治上的旗手)
standardization	n.标准化(用标准校验)
standardize	v.标准化,使合于标准
standby	备用
stand-in	n.替身
standing	n.起立,持续,身份a.立著的,不动的,经常的vbl.站立,忍耐
standoffish	a.有点不友好的,冷淡的
standout	n.杰出的人(不随大流者)
standpoint	n.立场,观点
standstill	n.停顿
stanford	(美国)斯坦福大学
stanza	n.节
staple	n.主要产物,主要要素,原料a.主要的,重要的v.分类,选择
stapler	n.钉书机
star	n.星,明星v.以星状物装饰,变成演员
starboard	n.(船、飞机的)右舷
starch	n.淀粉vt.给...上浆
starchy	a.含淀粉的,刻板的
star-crossed	a.时运不济的
stardust	n.星团(幻觉)
stare	盯,凝视
starfish	n.海星
stargazer	n.看星星的人,占星师,天文学家
stark	a.变硬了的,完全的ad.实在,简直,全然
starlight	n.星光
starring	n.纯锑表面呈星状花纹
starry	a.星光照耀的,闪亮的
start	n.起点v.开始,起身,出发
starter	n.起动机(发射架,发起者,调度员)
starters	n.开胃菜
starting	n.出发,开始
startle	n.惊愕,惊恐v.吃惊,使...惊愕
startled	v.震惊vbl.震惊
startling	a.令人吃惊的
starts	n.开始
start-up	启动
starvation	n.饿死,饥饿
starve	v.使饿死,饿得要死
starved	a.(=starving)饥饿的
starving	a.饥饿的
stash	v.藏起来,隐藏起来,结束
state	n.州,国,情形a.国家的,正式的v.说,陈述,声明,规定
statecraft	n.治国本领
stated	a.决定了的,一定的,定期的v.陈述,说明vbl.陈述,说明
stately	a.庄严的,堂皇的
statement	n.声明,陈述
statesman	n.政治家,国务活动家
statewide	a.全州范围的
static	n.静电,静电干扰a.静态的,静电的
statical	a.静态的,静力的
station	n.车站,站,位置v.安置,配置
stationary	a.不动的(稳定的)n.固定物(驻军)
stationery	n.文具
statistic	n.统计数值a.统计的,统计学的
statistical	a.统计的,统计学的
statistically	ad.统计地(统计上地,统计学地)
statistician	n.统计学家,统计员
statistics	n.统计,统计数字,统计学
statuary	n.雕像,雕塑艺术
statue	n.塑像,雕像
statuette	n.小雕像
stature	n.身材,身高
status	n.地位,身份,情形,状况
statute	n.法令,法规
statutory	a.法令的,法定的,触犯法令的
staunch	v.止住,止血a.坚固的,坚强的,忠实
stave	n.桶材,窄板v.敲破
stay	n.停留,停止,依靠v.停留,留宿,制止
stead	n.代替,用处
steadfast	a.坚定的,踏实的
steadfastly	ad.固定地(坚定地,不变地,不动摇地)
steadfastness	n.固定不变,坚定
steadily	ad.稳定地,稳固地
steady	a.稳定的,稳固的ad.平稳地,稳固地v.(使)稳固,(使)稳定
steady	state稳态
steak	n.牛排
steal	v.偷
stealth	n.秘密行动,秘密,鬼祟
stealthily	ad.暗地里,悄悄地
stealthy	a.隐密的
steam	n.蒸气,精力a.蒸气的v.蒸发
steamboat	n.轮船,汽艇
steamed	a.蒸熟的
steamer	n.汽船,轮船
steamship	n.汽船,轮船
steel	n.钢,钢制品a.钢的v.使...坚如钢
steep	a.险峻的,陡峭的v.浸泡,浸透vt.浸,泡
steepen	v.使...陡峭,变陡峻
steeple	n.尖塔
steer	v.引导,驾驶,航行
steering	n.(汽车或船等的)转向装置
stein	n.啤酒杯
stele	n.刻有碑文的石柱,石碑,匾额
stellar	a.星(状的)
stem	n.茎,干,船首v.堵住,阻止,起源于
stench	n.臭气,恶臭
stencil	n.模版(文字,蜡纸)vt用模版印刷
stenographer	n.速记员
stenography	n.速记,速记法v.速记
stentorian	a.声音大的
step	n.步骤,步,踏级v.踏,以步测量
step-	表示“后,继”之义
stepchild	n.前夫所生子女
stepfather	n.继父
stephen	n.斯蒂芬（男子名）
stepladder	n.四脚梯
stepmother	n.继母,后母
stepparent	n.继父(母)
stepped-up	a.加速的,加强的
stepsister	n.同父异母(或同母异父)的姐姐或妹妹
step-up	a.把电压升高的,递升的
stereo	a.立体声的n.立体声
stereophonic	立体声的
stereotype	n.铅版,陈腔滥调,老套v.使用铅版,套用老套
stereotyped	v.定型(浇铅版,对...产生成见)a.用铅版印的(老一套的)
sterile	a.不毛的,不孕的,无菌的
sterilization	n.消毒,灭菌
sterilize	v.使成不毛,断种,杀菌
sterling	a.英币的(纯粹的,货真价实的)n.英国货币(英镑)
stern	n.尾部,船尾a.严厉的,坚决的,可怖的
sternly	ad.严格地,严肃地,严厉地
steroid	n.类固醇,拟脂醇
stertorous	a.打鼾的
stethoscope	n.听诊器
steve	史蒂夫(男名)
stevedore	n.装卸工人,码头工人,脚夫v.装载货物
stew	n.炖汤,焖,烦恼v.炖汤,焖,忧虑
steward	n.乘务员
stewardess	n.空中小姐,女管理人,女管家
stick	n.枝,杆,手杖v.插于,刺入,竖起v.钉住,粘贴,坚持
sticker	n.尖刀(粘着剂,背面有粘胶的标签,张贴物,滞销物,难题)
sticking	a.粘的n.粘,贴,粘胶
stick-in-the-mud	n.守旧者；顽固者
stickler	n.坚持细节之人
stickpin	n.领带夹
sticky	a.粘的,粘性的
stiff	a.坚硬的,严厉的,呆板的ad.僵硬地,彻底地
stiffen	v.使...坚硬,变为浓粘,变为猛烈
stiffly	ad.顽固地,硬
stiffness	n.僵硬
stifle	v.使不能呼吸,窒息,抑制
stifling	a.令人窒息的
stigma	n.耻辱,污名n.柱头
stigmatize	v.非难,使蒙上污名
stile	n.横蹬,横路栅栏
stiletto	n.小剑,匕首,高跟鞋
still	a.静止的,不动的,静寂的ad.仍然,更,静止地conj.然而,但是
stillness	n.静止,沉静
stilt	n.高跷,支柱,脚柱
stilted	a.踩高跷的,虚饰的
stimulant	a.兴奋性的,激励的,鼓舞的n.兴奋剂,酒精性饮料
stimulate	vt.刺激,激励,鼓舞
stimulated	a.刺激的
stimulating	a.刺激的,有刺激性的
stimulation	n.刺激,激励,鼓舞
stimuli	n.刺激(刺激物,刺激源,激励,激源,促进因素,色质)
stimulus	n.刺激,激励,刺激品
sting	n.刺,讽刺v.刺,长著刺,使苦恼
stingy	a.吝啬的,小气的
stink	n.臭味,臭气v.发臭味,使...发臭坏透,招人讨厌
stinky	a.恶臭的
stint	v.节省,限制,停止n.舍不得化,节约,限制n.连续不断的一段时间从事某件事
stipend	n.薪水(薪金,定期生活津贴)
stipple	v.点画,点描
stipulate	v.规定,明定
stipulation	n.约束,约定,契约
stir	n.搅动,惹起v.激起,惹起,搅和
stirring	a.活泼的,活耀的,忙碌的
stirrup	n.[机]镫形具,马蹬
stitch	n.一针,疼痛,碎布条
stock	n.树干,血统,股份a.存货的,平凡的,股票的v.进货,采购
stockade	n.栅栏,围栏
stockbroker	n.股票经纪人
stockholder	n.股东
stockholm	n.斯德哥尔摩
stocking	n.长袜
stockjobber	n.股票投机商,证券批发商
stockpile	n.囤储物资vt.储备,储存
stockroom	库房
stocktaking	n.存货盘点,盘货
stocky	a.矮胖的,健壮结实的
stodge	n.乏味的食物,乏味的作品
stodgy	a.塞满的(平凡的,式样难看的)
stoic	n.斯多葛学派哲学家
stoicism	n.坚忍克己
stoke	v.添加燃料,司炉,激起vt.给(炉子)添燃料,烧(火)
stole	steal的过去式n.(女用)披肩vt.steal过去式
stolen	steal的过去分词
stolid	a.迟钝的,神经麻木的
stomach	n.胃v.忍受,容忍vt.承受,忍受
stomachache	n.胃痛vi.肚子痛
stomp	v.跺（脚）,重踩,重踏
stone	a.石制的n.石头vt.向...扔石头
stoned	a.有核的,除去核的,醉酒的
stonehenge	n.巨石阵
stonemason	n.石工,石匠
stonewall	v.阻碍议事,妨碍
stonework	n.石制品
stony	a.石头的(石质的)
stood	v.站立,忍受vbl.站立,忍受
stool	n.凳子,搁脚凳n.厕所，解大便
stoop	n.佝偻,屈服v.弯下,弯下上身,屈服
stop	n.停止,车站,滞留v.停止,停止,制止
stoplight	n.停止行进号志,红色尾灯
stopover	n.中途停留
stoppage	n.停止(停付)
stopper	n.(瓶子等的)塞子,阻塞物,妨碍物
stopping	停止,停下来
stopwatch	n.记秒表,跑表vt.用秒表测定时间
storage	n.储存体,储藏,仓库
store	n.商店,贮藏,仓库v.储存,贮藏,供给
store-bought	a.店里买的,现成的
storehouse	n.仓库,储藏所,宝藏
storekeeper	n.零售商
storeroom	n.储藏室,库房
storey	n.楼层
stork	n.[鸟]鹳
storm	n.暴风雨v.猛攻,捣毁,起风暴vi.起风暴,强攻vt.猛攻,捣毁
stormy	a.暴风雨的,粗暴的
story	n.故事
storybook	n.故事书,小说
storyteller	n.讲故事者
stout	n.烈啤酒a.强壮的,稳重的,肥胖的
stouthearted	a.刚毅的,大胆的
stoutly	ad.牢固地,粗壮的
stove	n.炉子,火炉窑;烘房；【主英】温室stave的过去式和过去分词
stow	v.收藏起来,装填,装满
stowage	n.装载
stowaway	n.偷渡者,匿身处
straddle	n.跨坐v.跨坐,把两腿叉开
strafe	v.斥责,轰击
straggle	vt.分散(零零落落,落后)
straight	a.直的,正直的,坦率的ad.直接
straighten	v.弄直,使正确,整顿
straightforward	a.笔直的,率直的
straightforwardness	n.坦白,率直
straightway	ad.立刻
strain	n.紧张,拉紧,血统v.劳累,拉紧,过份使用
strained	a.紧张的,装作的,矫饰的
strait	a.困境的,窘境的n.海峡
straits	n.困难,窘境
strand	n.绳索之一股v.搁浅,将...之股弄断
stranded	a.搁浅的,进退两难的
strange	a.陌生的,奇怪的
strangely	ad.奇妙地,奇怪地,不可思议地
stranger	n.陌生人
strangle	v.勒死,使窒息
strangulation	n.扼杀,勒死
strap	n.绳,皮带v.用绳索捆扎
strata	n.层(地层,岩歧,阶层,薄片)
stratagem	n.战略,计谋
strategic	a.战略的
strategist	n.战略家,军事家,策士
strategy	n.战略,策略
stratification	成层法
stratify	v.使成层,成层
stratospheric	a.同温层的
stratum	n.地层,阶层
straw	n.稻草,麦杆,吸管
strawberry	n.草莓
stray	n.走失的家畜,浪子a.迷途的,偶然的v.迷路,彷徨
streak	n.条理,斑纹,倾向v.加条纹,变成条纹
stream	n.流,水流,人潮v.使流出,流动
streamer	n.燕尾旗,饰带,彩色纸带
streaming	流的
streamline	n.流线,流线型v.使...成流线型,使...合理化
streamlined	v.使...流线化(层流,革新)a.流线型的(现代化的)
street	n.街道
streetcar	n.路面电车
streetlight	n.路灯,街灯
strength	n.力量,力气,长处,强度
strengthen	v.加强,变坚固
strenuous	a.奋发的,热心的,有奋斗之必要的
strenuously	ad.奋发地,使劲地
streptomyces	n.链霉菌属
streptomycin	n.链霉素
stress	n.紧张,压力v.强调,着重vt.强调n.负载
stressed	a.紧张的,有压力的
stressful	a.紧张的,压力重的
stretch	n.伸展,张开a.可伸缩的v.伸展,张开,延伸
stretcher	n.担架
strew	v.散播,撒满
striate	v.加条纹
stricken	a.被打中的,被击伤的,受灾的,受侵袭的
strict	a.严格的,精确的
strictly	ad.严格地
stricture	n.狭窄,苛评,非难
stride	n.大步,一跨步v.迈大步走,跨过
stridency	n.尖锐,刺耳
strident	a.刺耳的,吱吱尖叫的,尖锐的
stridulate	v.(昆虫)唧唧鸣叫
strife	n.争吵
strike	n.罢工,打击,殴打v.打,罢工,划燃
strikeout	加删除线
striker	n.大铁锤(撞针,罢工者)
striking	a.引人注目的,显著的
strikingly	ad.显著地(突出地,惊人地,引人注目地)
string	n.线,一串,字串v.串起,成串,收紧
stringent	a.迫切的,严厉的
strings	n.(乐器的)弦
strip	n.长条,条状v.脱衣,被剥去,剥夺
stripe	n.条纹
striped	a.有斑纹的
stripes	pl.条纹,斑纹
stripling	n.年轻男子
strip-mine	vt.露天开采
stripy	a.条纹状的,有条纹的
strive	v.(strove,striven;strived,strived)努力,奋斗,力争
striving	n.努力,奋斗
strode	stride的过去式
stroke	n.笔划,打,中风v.划尾桨,抚
stroll	n.闲逛,漫步v.闲逛,漫步
stroller	n.散步者,流浪者
strolling	a.巡回演出的
stroma	n.基质
strong	a.强壮的
strongest	a.最强壮的(为strong的最高级)
stronghold	n.要塞,堡垒,中心地
strongly	ad.坚固地,坚强地,激烈地
strong-minded	a.意志坚强的
strove	strive的过去式
struck	strike的过去式(分词)
structural	a.结构的,构造的
structure	n.结构,构造,建筑物v.构成,建立,建造
structured	a.有组织的,有结构的,有安排的
struggle	n.竞争,努力,奋斗v.努力,奋斗,挣扎
strum	v.(漫不经心地)弹奏
strut	n.高视阔步,支柱,抗压材v.趾高气扬地走,用支柱支撑
strychnine	n.马钱子碱
stub	n.断株,烟蒂v.挖除断株,连根拔除
stubble	n.短须,麦茬
stubborn	a.顽固的,倔强的
stubbornly	ad.顽固地,倔强地
stubbornness	n.顽固(棘手)
stucco	n.灰泥
stuck	stick的过去式(分词)a.不能动的,被卡住的
stuck-up	a.自大的,傲慢的
stud	n.图钉,装饰钮扣,立柱,板墙筋,壁骨v.镶嵌,点缀
student	n.学生
studied	a.有计划的,故意的,有意的v.学习,研究vbl.学习,研究
studies	v.学业(study的复数形)
studio	n.工作场所,画室n.照相室，制片厂．
study	v.&n.学习,研究vi.读书vt.细看,学习,研究
stuff	n.材料,原料,东西v.填满,塞满
stuffing	n.填塞物,剥制,填料
stuffy	a.不通气的(固步自封的)
stultify	vt.使...显得荒谬可笑(使...无价值,使...无效)
stumble	n.绊倒,失策v.使绊倒,失策
stump	n.残株,烟蒂,讲演台v.砍断,蹒跚而走
stun	v.使晕倒,使惊吓
stung	sting的过去式(分词)
stunning	a.足以使人晕倒的,极好的
stunningly	ad.惊人地,令人目瞪口呆地
stunt	n.特技,阻碍成长v.阻碍成长,表演特技
stuntman	n.特技替身演员
stupefy	v.(使)茫然,吓呆
stupendous	a.惊人的,巨大的
stupid	a.愚蠢的,笨的n.傻瓜
stupidity	n.愚蠢
stupor	n.昏迷,麻木不仁
sturdiness	n.强健,坚固,雄壮
sturdy	a.强健的,健全的
stutter	n.口吃v.口吃
stygian	a.地狱的,阴暗的,阴黑的,幽暗的
style	n.风格,时尚,字体v.称呼,设计
stylish	a.现代风格的,流行的,潇洒的
stylist	n.时装设计师
stylize	vt.仿效...的风格(因袭)
stylized	v.仿效(因袭)a.程式化的
stylus	n.铁笔,尖笔,唱针
stymie	n.困难境地vt使...处于困难境地
styptic	a.止血的n.止血剂
suave	a.柔和的,温和的,娴雅的
suavity	n.温和,殷勤
sub	n.地铁,潜艇,替补队员vi.(for)替代
subaltern	n.副官,僚属
subarctic	a.靠近北极的,亚北极的
subassembly	部件,组件
subatomic	a.亚原子的(次原子的,原子内的,比原子更小的)
subchannel	子通道,分通道
subclass	子类,小分类,子集合
subconscious	a.潜在意识,模糊的意识
subconsciously	ad.下意识地,潜意识地
subcontract	n.对象,分契,转包合同
subcontractor	转包商,次承包商
subculture	n.亚文化群
subcutaneous	a.皮下的
subdirectory	分目录,子目录
subdivide	vt.细分(细区分,再划分,重分,叠分,分小类)
subdivision	n.细分,再分的部分
subdue	v.使服从,压制,减弱
subgroup	给...加副标题,子群
subject	n.科目,主题a.服从的,易患的
subjection	n.征服,服从,隶属
subjective	a.主观的
subjugate	v.征服,使服从,抑制
subjugation	n.征服,镇压,平息
subjunctive	a.虚拟的
sublayer	子层
sublet	v.转租
sublimate	v.使升华,升华,纯化a.纯净化的,理想化的,气质高贵的n.升华物
sublimation	n.升华,升华物,高尚化
sublime	a.壮观的,卓越的v.提高,变高尚
subliminal	a.下意识的,识阈的,潜在意识的
submarine	a.水底的,海底的n.潜水艇
submerge	v.使浸水,潜入水中,使陷入
submerged	a.水下的
submicroscopic	a.用普通显微镜看不出的
subminiature	超小型
submission	n.服从,柔和
submissive	a.服从的,顺从的,柔顺的
submit	vt.呈送,递交,主张vt.使服从,屈服
submodule	子模块
suborder	n.亚目
subordinate	n.属下,附属物a.下级的,次要的,附属的v.使...居下位,使...服从
subordination	n.放置在下级,使隶属,看不起
suborn	v.收买,贿赂
subpoena	n.传票v.传审,唤审
subprogram	子程序,辅程序
subroutine	子程序
subscribe	v.捐献,赞成,订阅
subscriber	n.签署者,捐献者,订户
subscript	下标,标记,索引
subscription	n.捐献,订金,订阅
subsection	n.小部份,小单位,细分
subsequence	n.随后,随后发生的事,结果
subsequent	a.随后的,后来的
subsequently	ad.后来,随后
subserve	促进,帮助
subservient	a.有帮助的,有用的,奉承的
subset	子集
subside	v.沉,平息
subsidiary	a.辅助的,附属的n.子公司,附属机构
subsidize	v.给与补助金,给与奖助金,贿赂
subsidy	n.补助金,津贴
subsist	v.供给食物,活下去,生存
subsistence	n.生存,生活
subsoil	n.下层土,底土
subspecies	n.亚种
substance	n.物质,实质,基本内容
substandard	a.标准以下的,不合规格的
substantial	n.重要部份,本质a.大量的,实质上的,有内容的
substantially	ad.实质上,本质上,大体上
substantiate	v.实体化,证实
substantive	a.表示实在的；本质的、实质性的；独立的；n.实词,实名词；独立存在的实体
substituent	n.取代
substitute	n.代替者,代用品v.代替vi.(for)代替vt.用...代替,代以
substitution	n.代理,替换,交换
substrate	n.基片(基层,真晶格,基质)n.衬底
substratum	n.基础,根据,下层,底层
subsume	v.包含,包容vt.包含
subsystem	子系统
subterfuge	n.遁辞,藉口,托辞
subterranean	a.地下的
subtitle	n.副题(书本中的),说明或对白的字幕
subtle	a.微妙的,敏感的,精细的,狡猾的
subtlety	n.精妙,明敏
subtly	ad.敏锐地,巧妙地,精细地
subtopic	n.小标题,副标题,要点
subtotal	小计
subtract	v.减去,扣掉,减少
subtraction	n.减法,减去
subtractive	a.减去的,有负号的,负的
subtrahend	减数
subtree	子树
subtropical	a.亚热带的
suburb	n.郊区
suburban	a.市郊的(城郊的)
suburbanization	市郊化
subvention	n.补助金,津贴
subversion	n.颠覆,破坏
subversive	a.从事颠覆的,破坏性的n.破坏份子,危险份子
subvert	v.推翻,颠覆,毁减
subvocalize	v.默读
subway	n.地铁
succeed	v.成功,继承,继续
success	n.成功
successful	a.成功的
successfully	ad.成功地
succession	n.连续,继承权,继位
successive	a.接连的,连续的,接二连三的
successively	ad.一个接一个地
successor	n.继承人
succinct	a.简洁的
succor	n.救援,援助者
succubus	n.女妖
succulent	a.多汁的,多水份的,多汁性的
succumb	v.屈从,死
such	a.如此的,这样的
suck	v.啜,吸,吸入,吮吸<俚>糟糕,太烂了
sucker	n.乳儿,吸管
suckle	v.哺乳
sucrose	n.蔗糖
suction	n.吸,吸入
sudan	n.苏丹
sudd	n.(白尼罗河上游的)大块漂浮植物
sudden	n.突然,忽然a.突然的,快速的
suddenly	ad.突然地
sudorific	a.使发汗的,促使发汗的n.发汗药
sue	VI要求、请求；控告VT控告、起诉
suede	n.小山羊皮(软羔皮)
suffer	v.遭受,经验,忍受
sufferer	n.受难者,被害者,患者
suffering	n.苦楚,受难vbl.蒙受,受苦
suffice	v.足够,使...满足,合格
sufficiency	n.充裕,充足
sufficient	a.足够的,充分的
sufficiently	ad.足够地
suffix	n.后缀
suffocate	a.使窒息而死v.(使)窒息而死vt.使窒息
suffocating	a.使人窒息的
suffrage	n.投票,选举权,参政权
suffuse	v.遍布...,弥漫,充满
sugar	n.糖v.加糖于
sugary	a.含糖的,甜的
suggest	v.建议,提出
suggested	暗示的
suggestible	a.易受影响的
suggestion	n.建议
suggestive	a.提示性的,影射的,暗示的
suicidal	a.自杀的,自杀性的,自我毁减的
suicide	a.自杀(者)(的)v.&n.自杀
suit	n.套装,诉讼,请求v.适合,取悦,满足
suitable	a.合适的,适宜的
suitably	ad.适当地,相称地
suitcase	n.手提箱
suite	n.随员,套房,一组
suited	适合的
suitor	n.起诉者,请愿者,求婚者
sulfa	a.磺胺的n.磺胺类药物
sulfate	n.硫酸盐
sulfur	n.硫
sulk	a.生气的v.不高兴,闷闷不乐,愠怒,生气
sulky	a.生气的(阴沉的)
sullen	a.愠怒的,沉沉不乐的,阴沉的
sullenly	ad.不高兴地
sullenness	n.赌气,情绪消沉
sullivan	萨莉文(人名)
sully	v.沾污,弄脏,弄成无用n.污点,脏污
sulphur	n.硫
sulphuric	a.[化](含)硫磺的
sultan	n.回教君主,土耳其皇帝,鸡
sultry	a.闷热的
sum	n.总数,全部,概略v.总计,概括,合计
summarily	ad.概括地,仓促地
summarization	n.摘要,概要
summarize	v.概述,摘要而言
summary	n.摘要,概要a.摘要的,简略的
summation	n.总和,和,合计
summer	a.夏季(的)n.夏季,夏天
summertime	n.夏,夏季
summit	n.顶点n.最高官阶;最高级会议
summon	v.召唤,召集,振奋
summons	n.召唤,传唤,召集v.传唤到法院,唤出,传到
sumptuary	a.节省费用的
sumptuous	a.华丽的,奢侈的
sun	n.太阳vt.晒太阳
sunbathe	n.日光浴
sunbeam	n.日光
sunburn	n.日灼,晒伤v.晒黑
sunburnt	a.晒黑的
sundae	n.圣代冰淇淋
sunday	n.星期日
sunder	v.切开,分离
sundew	n.毛毯苔
sundial	n.日规,日昝仪
sundown	n.日落
sundries	杂货,杂物,杂项
sundry	n.杂物,杂事
sunflower	n.向日葵
sung	sing的过去分词
sunglasses	n.墨镜(太阳镜)
sunken	v.使...下沉(降,挖,打进,丧失,不重视)
sunlight	n.日光,阳光
sunlit	a.被日光照射了的,阳光照射的
sunny	a.阳光充足的,睛朗的,明媚的
sunrise	n.日出
sunroof	n.汽车顶蓬上可开合以透空气与光的孔
sunset	n.日落
sunshine	n.阳光
suntan	n.晒黑,卡其色军服
sunup	n.日出
sup	v.啜,尝vi.供给晚饭
super	a.超级的,极好的
superannuated	a.老朽的,退休的
superb	a.极好的
superbly	ad.壮丽地(最上等地)
supercilious	a.目中无人的,高傲的
superclass	超类
supercomputer	n.巨型电子计算机
superficial	a.表面的,肤浅的
superficially	ad.表面地(表面上)
superfluity	n.多余,过剩
superfluous	a.多余的
superhighway	n.超级高速公路
superimpose	vt.重叠(安装,添加)
superintend	v.指挥,管理,监督
superintendent	n.监督人,管理人,所长
superior	n.长者,高手a.上好的,出众的,高傲的
superiority	n.优越性,优势
superlative	a.最上的,无比的,过度的n.最高级的言辞,极致,完璧
superman	n.超人
supermarket	n.超级市场
supernal	a.天堂的,天上的
supernatural	a.超自然的,神奇的
supernova	n.［天］超新星
supernumerary	n.多余的人或物,冗员
superorganism	n.[生]超个体(指群居昆虫等的群体)
superpower	n.超级大国
superscript	上标
supersede	v.代替,取代
superset	超集,扩展集
supersonic	a.超音波的
superstar	n.超级明星
superstition	n.迷信
superstitious	a.迷信的
superstructure	n.上部构造,建筑物,上层构造
superuser	超级用户
supervise	v.监督,管理,指导
supervision	n.监督,管理
supervisor	n.监督人,管理人,检查员,督学,主管人,导师
supervisory	管理的,监控的
supine	a.仰卧的(掌心向上的,因循的)
supper	n.晚餐
suppertime	n.晚饭时间
supplant	v.排挤,取代vt.(用策略等)替换
supple	a.柔软的,逢迎的,顺从的
supplement	n.补充物,增刊v.补充,增补
supplemental	a.补充的,增补的
supplementary	a.补充的,附加的
suppliant	a.哀恳的
supplicant	n.乞求者,恳求者
supplicate	v.恳求,乞求
supplier	n.供给的人,供给国,承制厂商
supplies	物资,贮藏量
supply	n.补给,供给v.补给,供给
support	n.支持,援助,供养vt.支援,帮助,支持
supporter	n.支持者
supporters	支持者,载体
supporting	a.次要的,辅助性的
supportive	a.支持的
suppose	v.推想,假设,以为,认为应该,获准,让(虚拟语气)
supposed	v.假定(必须以...为条件)a.想象上的
supposedly	ad.想来(恐怕,按照推测)
supposing	n.假如,去...吧,不妨...吧
supposition	n.想像,推测,推想
supposititious	a.假想的
suppress	v.镇压,使...止住,禁止
suppression	n.抑压,镇压,抑制
suppurate	v.生脓,化脓,流脓
supremacy	n.至高,主权
supreme	a.最高的
supremely	ad.无上地,崇高地
surcease	n.停止,完结
surcharge	n.装载过多,额外费
sure	a.确信,必然的,必定的ad.当然,确实地,无疑地
surefire	a.一定会发生的,定成功的
surely	ad.的确地,安全地
sureness	n.千真万确,确实
surf	n.海浪vi.冲浪
surface	n.表面,平面a.表面的,肤浅的v.使...成平面,被露出来,在表面工作
surfeit	n.过食v.使腻,吃过份
surfer	n.冲浪者
surfing	n.冲浪运动
surge	n.巨涌,汹涌,澎湃v.汹涌,澎湃
surgeon	n.外科医生
surgery	n.外科,外科手术
surgical	a.外科的,外科医生的,手术上的
surly	a.不和蔼的,板著面孔的,粗声暴气的
surmise	n.推测v.推测,臆测
surmount	v.克服,越过
surname	n.姓
surpass	v.超越,凌驾,胜过
surplus	a.多余的,过剩的n.过剩,剩余物,盈余,顺差
surprise	n.惊奇v.使惊奇
surprised	a.感到惊讶的vbl.感到惊讶
surprising	a.令人惊讶的
surprisingly	ad.惊人地(意外地)
surreal	a.不现实的,梦幻的,怪异的,可怕的
surrealist	n.超现实主义者
surrender	v.投降,让与,屈服
surreptitious	a.鬼鬼祟祟的,保密的
surrey	n.<美>(四轮双座通常有篷的)萨里式游览马车
surrogate	n.代理,代理人,代用品
surround	n.环绕物v.包围,环绕
surrounding	a.周围的n.环境,周围的事物
surroundings	n.周围的事物,环境
surveillance	n.监视,监督
survey	n.纵览,视察,测量v.审视,视察,通盘考虑,调查
surveying	n.(土地)测量
surveyor	n.测量员(检查员)
survival	n.生存
survive	v.生存,生还
survivor	n.幸存者
susan	n.苏珊(女子名)
susceptibility	n.感受性,感情
susceptible	n.易受影响者,易受感染者a.易受影响的,易感动的,容许
sushi	n.寿司
suspect	n.嫌疑犯a.令人怀疑的,不可信的v.怀疑,猜想
suspend	v.推迟,悬(浮),挂,暂停,取消vi.吊,悬浮vt.悬,挂,吊,暂停,中止
suspended	a.被暂时搁置的
suspender	n.吊的人,袜吊,吊裤带
suspense	n.悬疑,焦虑,悬念
suspension	n.悬挂,未决,中止
